Time_Stamp,Latitude,Longitude,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Index,Distance
1700453829829.0,39.9517704,116.3370313,-1.0642227,5.8262897,10.563816,-0.85740405,0.3655186,0.5564671,848.0,12.708527663448525
1700453829967.0,39.951761,116.3370345,-1.7196354,4.035427,8.432379,-0.6562024,0.38935387,0.17949693,855.0,12.793919010398922
1700453829989.0,39.951728,116.3370248,-1.271321,3.7469256,8.20433,-0.6360955,-0.105594255,0.13329111,856.0,12.806240661813892
1700453830007.0,39.951698825,116.33701919999999,-0.7846996,3.78643,6.909666,-0.4006723,-0.33369383,0.098137416,857.0,12.81609310008339
1700453830031.0,39.95162245,116.3370236875,-0.7846996,3.78643,6.909666,-0.1691106,-0.26738116,0.124635845,858.0,12.82922968444272
1700453830054.0002,39.9515604,116.3370212,-0.6715736,3.9600096,5.6179943,-0.07643267,-0.025166854,0.21025641,859.0,12.84230617081199
1700453830593.9998,39.951548,116.3370219,0.14724341,3.679888,7.4405804,-0.108124256,-0.29374644,-0.59747976,886.0,13.262997963798997
1700453831572.0,39.9515344,116.337017,2.1493945,7.1963716,7.401076,0.24580958,-0.48975495,-0.53502864,935.0,14.036812940934546
1700453832573.0,39.9515234,116.3370136,-0.04249708,7.173627,9.401431,0.18189377,-0.057124764,0.16218638,985.0,14.824770641633286
1700453833573.0,39.951514,116.337013,-0.11432313,5.641338,5.705383,-0.02929475,0.10825742,0.30692908,1035.0,15.636526703247162
1700453834572.0,39.9515031,116.3370149,-0.9828198,5.3007627,7.180211,-0.23289326,0.35473278,-0.12743217,1085.0,16.48849093072338
1700453835596.0,39.9514942,116.3370175,-1.5927427,6.7630215,9.333197,-0.054328445,0.3733749,0.26471803,1136.0,17.32350124917048
1700453837597.0,39.951486,116.3370209,-0.4297592,3.70802,5.0332108,0.20865852,-0.19148114,-0.5659213,1236.0,18.83188296117899
1700453872604.0,39.951473,116.3370223,-0.12868834,4.805163,5.445612,0.10226531,0.0105194785,-0.24394538,2985.0,49.0908796654704
1700453872663.0,39.951460033333326,116.33702353333335,-0.5859809,5.777209,4.5567646,0.21584904,-0.09920268,-0.16844481,2988.0,49.13385926881799
1700453872684.0,39.951430159999994,116.33702988,-0.4902128,6.0800753,4.441244,0.28242803,0.029694224,-0.10612689,2989.0,49.151991244951645
1700453872704.0,39.951383,116.33702213333333,-0.39444473,6.281787,4.630985,0.3775028,0.12823111,-0.045273706,2990.0,49.16981000841522
1700453872725.0,39.95130091428572,116.33702338571429,-0.38965634,6.5068417,4.8739963,0.42517334,0.15579481,0.012783164,2991.0,49.18918657073869
1700453872743.0,39.951198354545454,116.33702963636364,-0.40282443,6.707356,5.093664,0.40613177,0.15219954,0.04807002,2992.0,49.20630703534981
1700453872765.0,39.95115303333333,116.33695076666667,-0.3597288,7.029376,5.451597,0.37124437,0.1691106,0.088683195,2993.0,49.2282258603699
